no.	pun	target	pun phon	target phon	idiomaticity	page no.	grammaticality	remark	dialect	POS pun	POS target	x	sum cost	sum/phon.	stress shift	syllable no.
1145	skid	kid	skId	.kId	idiom I kid you not	211	B			VVB	VVB	I+	0.08	0.02		
1146	slake	take	sl4k	t.4k	quote take five	212	B			VVI	VVI	Q+	0.4	0.1		
1147	slink	sink	slINk	s.INk	idiom sink or swim	213	B			VVI	VVI	B+	0.06	0.012		
1148	snow	snore	sn5.	snOr	_def.	214	ne			VVI	VVI		0.3	0.075		
1149	stink	think	stINk	T.INk	proverb  great minds think alike	220	B			VVB	VVB	S+	0.32	0.064		
1150	stray	stay	str4	st.4	idiom something is here to stay	221	B			VVI	VVI	E+	0.03	0.0075		
1151	strike	like	str1k	..l1k	idiom I've never met a man I couldn't like	221	B			VVI	VVI	Q+	0.28	0.056		
1152	tack	take	t&k	t4k	idiom I just can't take it anymore	225	B			VVI	VVI	I+	0.27	0.09		
1153	sing	Thing	TIN	sIN	idiom it don't mean a thing ...	211	T			VVI	NN1	E+	0.11	0.036666665		
1154	thumb	sum	T^m	s^m	idiom sum up a case	230	B			VVI	VVI	I+	0.11	0.036666665		
1155	tinkle	twinkle	t.INk0l	twINk0l	title twinkle, twinkle, little star	232	B			VVB	VVB	Q+	0.13	0.018571429		
1156	tramp	cramp	tr&mp	kr&mp	idiom cramp one's style	235	B			VVI	VVI	E+	0.16	0.032		
1157	tryst	trust	trIst	tr^st	idiom in God we trust	236	B	wtf?		VVB	VVB	Q+	0.27	0.054		
1158	underwrite	on the right	^nd0r1t	anD0r1t	idiom on the right side of the ledger	240	T			VV0	PRP AT0 AJ0	E+	0.31	0.044285715		
1159	undulate	on the late	^ndj0l4t	0nD.0l4t		240	T			VV0	PRP AT0 AJ0		0.43	0.05375	e	
1160	ventilate	went till 8	vEn?0l4t	wEntIl4t		244	T			VV0	VVD PRP NN1		0.29	0.03625		
1161	venture	went your	vEnC0r	wEn?0.	idiom go one's way	244	T			VV0	VVD DPS	E+	0.77	0.12833333		
1162	wand	want	wand	want	coll. anything you want	249	B			VVB	VVB	I	0.09	0.0225		
1163	wane	rain	w4n	r4n	idiom it never rains but it pours	249	B			VVZ	VVZ	E+	0.14	0.046666667		
1164	west	rest	wEst	rEst		251	B		rabbit talk	VVB	VVB		0.14	0.035		
1165	whine	shine	w1n	S1n	idiom rise and shine	252	B			VVB	VVB	B+	1	0.33333334		
1166	wilt	will	wIlt	wIl.	coll. I will	253	B			VVB	VMD	I	0.07	0.0175		
1167	worship	war-ship	w0rSIp	wOrSIp		255	T			NN1	NN1		0.25	0.041666668		
1168	yawn	you're on	j..On	j8ran	coll. you're on	259	B	P: exclamation		VV0	PNP VBB AVP	P	1.29	0.258	e	-1
1169	yearn	earn	j9rn	.9rn	idiom earn one's way	259	B			VVI	VVI	I+	0.1	0.025		
1170	yonder	(a)re on their	jand0r	ranD0r	idiom on one's way home	260	T			PRP	VBB PRP DPS	I+	0.71	0.11833333		
1171	zing	sing	zIN	sIN		262	ne	what?		VV0	VV0		0.07	0.023333333		
1172	mend straight	menstruate	mEndstr4t	mEn.str4t		148	B			VVI AVP	VVI		0.11	0.012222222		
1173	share an aid	serenade	S7r0n4d	sEr0n4d	quote serenade in the night 'neath a fair lady's window	254	B	see windrow		VVB AT0 NN1	VVI	Q+	0.38	0.054285713		
1174	feed 'em	freedom	f.id0m	frid0m	idiom battle cry of freedom	85	T			VVB PNP	NN1	Q+	0.04	0.006666667		
1175	trust Owens	throw stones	tr^st50nz	Tr5st5.nz	proverb people who live in glass houses...	113	B	see hose		VVI NP0	VVI NN2	S+	0.51	0.05666667		
1176	watch her	water	waC0r	wa?0r	coll. Scotch and water	250	B			VVI PNP	NN1	B	0.66	0.132		
1177	wore cologne	walk alone	wOrk0l5n	wO.k0l5n		52	B	see cologne		VVB	VVB		0.03	0.00375		
1178	blown apart	Bonaparte	bl5n0part	b.5n0part	coll. Napoleon Bonaparte	31	B			VVB AV0	NP0	I	0.06	0.006666667		
1179	ginned	sinned	JInd	sInd	idiom forgive me, father, for I have sinned	97	B			VVN	VVN	Q+	0.38	0.095		
1180	invading	evading	Inv4dIN	i.v4dIN	idiom evade the issue	121	B			VVG	VVG	I+	0.25	0.035714287		
1181	open	hopin'	.5p0n	h5pIn	idiom keep hoping	165	B			AV0	VVG	I+	0.07	0.014		
1182	zebra	the bra	zibr0	D0bra		261	T			NN1	AT0 NN1		0.84	0.168	e	
