no.	pun	target	pun phon	target phon	idiomaticity	page no.	grammaticality	remark	dialect	POS pun	POS target	x	sum cost	sum/phon.	stress shift	syllable no.
1067	afflict	a flick	0flIkt	0flIk.	_def.	9	ne			VVB	ATO NN1		0.07	0.011666667		
1068	ain't	aunt	4nt	&nt	_def.	9	ne			VBB XX0	NN1		0.27	0.09		
1069	air	err	7r	9r	proverb to err is human, but to forgive, divine	92	B	see forklift		VVI	VVI	S+	0.3	0.15		
1070	amends	a men's	0mEndz	0mEn.z	_def.	12	ne			VVZ	AT0 NN1 POS		0.11	0.018333333		
1071	bait	beat	b4t	bit	idiom you can't beat it	22	B			VVB	VVB	E+	0.28	0.093333334		
1072	bead	beat	bid	bit	coll. beat it	25	B			VVI	VVI	I	0.09	0.03		
1073	beer	be	b6r	bi.	quote to be or not to be	27	B	beer (v.) is of course pushing it, but so are puns in general, figa, and again, 		VVI	VBI	Q+	0.32	0.10666667		
1074	beguile	big girl	bIg1.l	bIg9rl	idiom she's a big girl now	27	B			VVB	AJ0 NN1	E+	0.33	0.055		
1075	bend	end	bEnd	.End	idiom the be-all and end-all	28	B			VVB	VVB	E+	0.21	0.0525		
1076	bind	mind	b1nd	m1nd	idiom mind over matter	30	ne	desp. WC B,3		VVB	NN1	E+	0.44	0.11		
1077	bisex	bisect	b1sEks	b1sEkt	coll. bisecting angles	30	B			VVG	VVG	C	0.34	0.05666667		
1078	bleach	breach	bliC	briC	idiom breach of promise	31	B			VVI	VVI	I+	0.11	0.0275		
1079	blouse	blows	bl2z	bl5z		31	B		not a pun, just dialectal variation	VVZ	VVZ		0.29	0.0725		
1080	braise	praise	br4z	pr4z	quote praise Him who made it	34	B	what?		VVB	VVB	Q+	0.14	0.035		
1081	bullet	pull it	bUlIt	pUlIt		38	B	Pun intr./Targ. trans. + O		VVB	VVB PNP		0.14	0.028		
1082	cauterize	caught a rise	kO?0r1z	ga?0r1z		44	B		Cockney	VVB	VVB AT0 NN1		0.36	0.05142857		
1083	cavort	quart	k0vOrt	k.wOrt	_def.	44	B		Swedish	VVI	NN1		0.12	0.02		1
1084	chant	shan't	C&nt	S&nt		46	T	WS had chant-can't		VVB	VM0 XX0		0.19	0.0475		
1085	cost	lost	kast	last	title love's labour lost	56	B			VVN	AJ0	Q+	0.66	0.165		
1086	craze	praise	kr4z	pr4z	title praise the lord and pass the ammunition	57	B	spoon w/parse-pass		VVI	VVI	Q+	0.23	0.0575		
1087	crow	go	kr5	g.5	idiom if you gotta go...	59	B			VVI	VVI	S+	0.14	0.046666667		
1088	crunch	lunch	kr^nC	.l^nC	idiom out to lunch	59	B			VVI	NN1	I+	0.23	0.046		
1089	cull	call	k^l	kOl	idiom don't call us, we'll call you	60	B			VVB	VVB	E+	0.28	0.093333334		
1090	depart	the part	dIpart	D0part		65	T			VVB	AT0 NN1		0.06	0.01		
1091	deploy	the ploy	dIpl3	D0pl3		65	B			VVB	AT0 NN1		0.06	0.012		
1092	dry	cry	dr1	kr1	idiom see a grown man cry	71	B			AJ0	VVB	E+	0.52	0.17333333		
1093	earn	learn	.9rn	l9rn	coll. live and learn	73	B			VVB	VVB	B	0.08	0.02		
1094	eat	beat	.it	bit	idiom if you can't beat them, ...	74	B			VVI	VVI	S+	0.21	0.07		
1095	elate	be late	il4t	.l4t	idiom better late than never	75	B	WS elate-late		VVB	VBB AJ0	S+	0.13	0.0325		
1096	elevate	I'll have 8	El0v4t	1l0v4t		76	ne			VVB	PNP VM0 PN1		0.28	0.046666667		
1097	eloping	loping	il5pIN	.l5pIN	idiom go loping down the road	76	B			VVG	VVG	E+	0.13	0.021666666		1
1098	enclose	in clothes	Enkl5.z	Inkl5Dz		77	B	,3 of Pun salvaged through ellipsis, I like it, complicated		VVB	PRP NN2		0.34	0.04857143		
1099	endow	indeed	End2.	Indid		77	ne			VVB	AV0		0.6	0.12		
1100	evidence	have a dance	.EvId0ns	h&v0d&ns	idiom may I have a dance with you	80	B			VVB	VHB AT0 NN1	I+	0.52	0.065		
1101	field	feel	fild	fil.	proverb you're only as young as you feel	86	B			VVB	VVB	S+	0.11	0.0275		
1102	flail	fail	fl4l	f.4l	idiom words fail me	88	B			VVB	VVB	E+	0.06	0.015		
1103	foist	first	f3.st	f9rst		90	T			VVB	AV0		0.33	0.066		
1104	forklift	forgive	fOrklIft	f0rg.Iv.	proverb to err is human, but to forgive, divine	92	B			VVI	VVI	S+	0.65	0.08125		
1105	fry	try	fr1	tr1	idiom try harder	94	B			VVB	VVB	I+	0.52	0.17333333		
1106	grow	glow	gr5	gl5	idiom glow with pride	103	B			VVI	VVI	E+	0.13	0.043333333		
1107	grow	blow	gr5	bl5	coll. blow your mind	103	B			VVB	VVB	I	0.44	0.14666666		
1108	herd	hurt	h9rd	h9rt	idiom you always hurt the one you love	110	B			VVI	VVI	E+	0.09	0.0225		
1109	hew	you	hju	.ju		110	T	what?		VVI	PNP		0.08	0.026666667		
1110	immerse	worse	Im9rs	.w9rs	idiom from bad to worse	117	T			VVI	AJC	E+	1.1	0.22		1
1111	immolate	him more late	.Im0.l4t	hImOrl4t	foreigner talk	117	T			VVB	PNP AJC		0.36	0.045		
1112	impale	in pail	Imp4l	Inp4l	coll. pail  bucket	118	T			VVB	PRP NN1	R	0.11	0.022		
1113	inhale	in hell	Inh4l	InhEl		119	B			VVI	PRP NN1		0.26	0.052		
1114	inhibit	inhabit	InhIbIt	Inh&bIt	quote they shall inhabit the earth	119	B			VVI	VVI	Q+	0.28	0.04		
1115	inoculate	immaculate	Inakjul4t	Im&kjulIt	coll. immaculate conception	120	T			VVB	AJ0	C	0.6	0.06666667		
1116	insert	assert	Ins9rt	0.s9rt	idiom assert one's masculinity	120	B			VVI	VVI	I+	0.11	0.018333333	e	
1117	jab	'd you have	J.&b	J0&v		123	B			VVB	VDD PNP VHI		0.25	0.0625		-1
1118	joke	choke	J5k	C5k	coll. choke to death	125	B			VVI	VVI	I	0.18	0.06		
1119	lacquer	like her	l&k0r	l1k0r		133	B			VVB	VVI PNP		0.22	0.044		
1120	lath	laugh	l&T	l&f	proverb he who laughs last ...	134	B			VVZ	VVZ	S+	0.44	0.14666666		
1121	lease	leave	lis	liv	idiom love it or leave it	135	B			VVB	VVB	S+	0.66	0.22		
1122	let	met	lEt	mEt	idiom never met a man I didn't like	137	T			VMN	VVN	I+	0.38	0.12666667		
1123	lop	top	lap	tap	coll. top banana	142	T			VVI	AJ0	C	0.38	0.12666667		
1124	maimed	named	m4md	n4md	title a streetcar named desire	145	ne			VVN	VVN	Q+	0.11	0.0275		
1125	neap	reap	nip	rip	quote as you sow, so shall ye reap	158	B			VVB	VVI	Q+	0.29	0.096666664		
1126	needle	need all	nid0l	nidOl		158	B			VVB	VVB AT0		0.25	0.05		
1127	nod	not	nad	nat		160	B	only morpheme, ok when part of the word		NN1	XX0		0.09	0.03		
1128	paint	ain't	p4nt	.4nt	idiom ... isn't what it used to be	169	B			VVB	VBB XX0	E+	0.16	0.04		
1129	park	bark	park	bark	idiom his bark is worse than his bite	170	T			NN1	NN1	E+	0.16	0.04		
1130	parse	pass	pars	p&.s	title praise the lord and pass the ammunition	8	B	spoon w/craze-praise		VVB	VVB	Q+	0.21	0.0525		
1131	pawn	upon	.pOn	0pan	quote return with your shields ...	172	B			VVB	PRP	Q+	0.32	0.08		
1132	ponder	yonder	pand0r	jand0r	coll. wide blue yonder	179	B			VVB	VVB	C	1	0.16666667		
1133	punch	lunch	p^nC	l^nC	coll. out to lunch	185	B			NN1	NN1	I	1	0.25		
1134	raise	praise	.r4z	pr4z	quote I come to bury Cesar, not to praise him	191	B			VVI	VVI	Q+	0.24	0.06		
1135	rate	ate	r4t	.4t	idiom something that I ate	192	B			VVD	VVD	I+	0.03	0.01		
1136	razor	raise your	r4z.0r	r4zj0r	idiom raise eyebrows	192	B			VVI	VVI DPS	I+	0.09	0.015		
1137	reap	weep	rip	wip	idiom read it and weep	192	B			VVB	VVB	I+	0.21	0.07		
1138	reek	meek	rik	mik	quote the meek shall inherit the earth	194	T			VVB	VV0	Q+	0.66	0.22		
1139	relapse	relax	rIl&ps	rIl&ks	coll. relax and enjoy	194	B			VVI	VVI	B	0.24	0.04		
1140	repeat	repent	rIpi.t	rIpEnt	proverb marry in haste, repent in leisure	195	B			VVB	VVB	S+	0.38	0.06333333		
1141	roil	rule	r3l	rul	quote Britain rule the waves	198	B			VVZ	VVZ	Q+	0.3	0.1		
1142	ruminate	Roman ate	rum0n4t	r5m0n4t		200	B			VVB	NP0 VVD		0.27	0.03857143		
1143	seek	sheik	sik	Sik	idiom sheik of Araby	206	T			VVB	NN1	I+	0.17	0.05666667		
1144	sicken	thicken	sIk0n	TIk0n	idiom the plot thickens	210	B			VVZ	VVZ	I+	0.25	0.05		
